score_num,movie_name,ranking,score
45385,东京物语,193,9.2
93987,牯岭街少年杀人事件,194,8.7
160842,这个男人来自地球,195,8.5
199009,变脸,196,8.4
164010,英国病人,197,8.4
240338,被解救的姜戈,198,8.5
94680,末路狂花,199,8.7
129955,终结者2：审判日,200,8.5
140534,E.T. 外星人,201,8.5
100736,叫我第一名,202,8.6
49848,忠犬八公物语,203,9.0
71910,哪吒闹海,204,8.8
172238,发条橙,205,8.4
199004,青蛇,206,8.4
378378,源代码,207,8.3
214884,穆赫兰道,208,8.3
46178,黄金三镖客,209,9.1
141018,黑客帝国3：矩阵革命,210,8.5
166921,新龙门客栈,211,8.4
106047,非常嫌疑犯,212,8.6
170056,美国丽人,213,8.4
38372,城市之光,214,9.2
88933,上帝也疯狂,215,8.6
205837,无耻混蛋,216,8.4
421103,初恋这件小事,217,8.2
80600,勇士,218,8.9
43628,爱·回家,219,9.0
256471,蓝色大门,220,8.2
190728,曾经,221,8.3
171098,无敌破坏王,222,8.6
118503,麦兜故事,223,8.5
133549,暖暖内含光,224,8.4
78787,大卫·戈尔的一生,225,8.7
90196,蝴蝶,226,8.6
228429,模仿游戏,227,8.5
117196,血钻,228,8.5
311669,国王的演讲,229,8.3
52635,与狼共舞,230,8.9
114089,遗愿清单,231,8.5
98683,巴黎淘气帮,232,8.6
120617,荒岛余生,233,8.4
107162,偷拐抢骗,234,8.5
183852,夜访吸血鬼,235,8.3
281020,疯狂的石头,236,8.2
88612,枪火,237,8.6
74609,千钧一发,238,8.7
102661,爱在午夜降临前,239,8.7
207915,爱在暹罗,240,8.3
71608,中央车站,241,8.7
130414,月球,242,8.5
73986,寿司之神,243,8.8
49728,我爱你,244,9.0
300190,两小无猜,245,8.1
131510,罪恶之城,246,8.4
89358,廊桥遗梦,247,8.5
213919,假如爱有天意,248,8.2
145746,彗星来的那一夜,249,8.3
99791,黑鹰坠落,250,8.5
